atopid,year,onlyconsul,defcon,prob_det,dem_prop,dem_dich,wartime,offense,mem_num,mean_threat,max_threat,min_s_2cat,mean_s_2cat,defense,neutral,nonagg,consul,conditio,offcon,neucon,concon,h1_cat3,h2_cat3,h2_cat4,offense_tpm,consul_tpm,dem_prop_rawpolity,mem1,mem2,mem3,mem4,mem5,mem6,mem7,mem8,mem9,mem10,mem11,mem12,mem13,mem14,mem15,mem16,mem17,mem18,mem19,mem20,mem21,mem22,mem23,mem24,mem25,mem26,mem27,mem28,mem29,mem30,mem31,mem32,mem33,mem34,mem35,mem36,mem37,mem38,mem39,mem40,mem41,mem42,mem43
1130,1848,0,1,0,0,0,0,0,2,.49688402,.49688402,.54545456,.54545456,1,0,0,0,1,0,0,0,1,2,3,0,0,0,300,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,1849,0,0,0,0,0,0,0,3,0,0,.93939394,.93939394,1,0,0,1,1,0,0,0,1,1,2,0,1,0,240,255,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,1850,0,1,0,0,0,0,1,3,0,0,.84848487,.87878788,1,0,0,0,1,1,0,0,1,2,3,1,0,0,245,271,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,1851,0,0,0,0,0,0,1,2,.54837406,.59412402,.90909094,.90909094,1,0,0,0,0,0,0,0,1,1,2,1,0,0,255,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,1851,0,1,0,0,0,0,1,2,.14173299,.14173299,.93939394,.93939394,1,0,0,1,1,1,0,1,1,2,3,1,1,0,140,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,1851,0,0,1,0,0,1,0,2,.14173299,.14173299,1,1,1,0,0,1,1,0,0,1,1,1,2,0,1,0,140,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,1854,0,1,1,0,0,1,0,3,.051000334,.056413002,.94117647,.94117647,1,0,0,1,1,0,0,1,1,2,3,0,1,0,200,220,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,1854,0,0,0,0,0,1,1,2,.052353501,.056413002,.97058821,.97058821,0,0,0,1,1,1,0,1,1,0,1,1,1,0,200,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,1854,0,0,0,0,0,0,1,2,.32512602,.63358402,.91176468,.91176468,1,0,0,0,1,0,0,0,1,1,2,1,0,0,255,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,1854,0,1,0,0,0,1,0,2,.032481,.048294,.55882353,.55882353,1,0,0,0,1,0,0,0,1,2,3,0,0,0,300,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,1854,0,1,0,0,0,1,1,3,.040458333,.056413002,.57352942,.71568626,1,0,0,1,1,1,0,1,1,2,3,1,1,0,200,220,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,1854,1,0,0,0,0,1,0,2,.036540501,.056413002,.66176468,.66176468,0,0,0,1,1,0,0,1,2,0,1,0,1,0,220,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,1855,0,1,0,0,0,1,0,3,.074918002,.118167,.84057969,.89371979,1,0,0,1,1,0,0,1,1,2,3,0,1,0,200,220,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,1856,0,0,0,0,0,0,1,3,.09795633,.180254,.62318838,.72946858,0,0,0,1,1,1,0,1,1,0,1,1,1,0,200,220,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,1856,0,0,0,0,0,0,0,2,.11525799,.11525799,.942029,.942029,0,1,0,0,0,0,0,0,1,0,1,0,0,0,150,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,1859,0,0,0,0,0,0,0,3,.136034,.136034,.9130435,.93236715,1,1,0,0,0,0,0,0,1,1,2,0,0,0,140,160,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,1859,0,1,0,0,0,0,1,2,.1010685,.136034,.884058,.884058,1,0,0,0,1,1,0,0,1,2,3,1,0,0,220,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,1859,0,0,0,0,0,0,0,2,.1010685,.136034,.85507244,.85507244,0,1,0,1,1,0,1,1,1,0,1,0,1,0,220,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,1860,0,0,0,0,0,0,0,2,.101114,.101114,.942029,.942029,1,1,0,0,0,0,0,0,1,1,2,0,0,0,130,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,1861,0,0,0,0,0,0,1,3,.068462662,.091848999,.884058,.92270535,0,0,0,0,1,1,0,0,1,0,1,1,0,0,200,220,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,1862,0,1,1,0,0,0,0,6,.40230617,.46483698,.93846154,.97948718,1,1,0,0,1,0,1,0,1,2,3,0,0,0,240,245,269,271,275,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,1863,0,0,0,0,0,0,1,2,.22857399,.41663799,.66153848,.66153848,0,0,0,0,1,1,0,0,1,0,1,1,0,0,255,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,1863,0,0,0,0,0,0,0,2,.095842004,.095842004,.93846154,.93846154,1,0,1,0,0,0,0,0,1,1,2,0,0,0,135,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,1864,0,0,0,0,0,0,0,2,.096450999,.096450999,.93846154,.93846154,1,0,1,0,0,0,0,0,1,1,2,0,0,0,100,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,1864,0,0,0,0,0,0,1,2,.30901399,.482696,.93846154,.93846154,0,0,0,1,1,1,0,1,1,0,1,1,1,0,255,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,1865,0,1,0,0,0,1,1,3,.108637,.108637,.93846154,.93846154,1,0,0,1,1,1,0,1,1,2,3,1,1,0,140,160,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,1865,0,1,0,0,0,1,1,2,.108637,.108637,.90769231,.90769231,1,0,0,0,1,1,0,0,1,2,3,1,0,0,,135,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,1866,0,0,0,0,0,0,1,2,.26425952,.471264,.66153848,.66153848,0,0,0,0,1,1,0,0,1,0,1,1,0,0,255,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,1866,0,0,0,0,0,1,0,2,.11317901,.15235901,.72307694,.72307694,0,1,0,1,1,0,1,1,1,0,1,0,1,0,220,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,1866,0,0,0,0,0,0,1,2,0,0,.90769231,.90769231,1,0,0,0,0,0,0,0,1,1,2,1,0,0,255,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
