"atopid","year","mean.s.sc","low.s.sc","mean.pi.sc","low.pi.sc","mean.kap.sc","low.kap.sc"
1030,1819,0.13043478,0.13043478,-0.026785757,-0.026785757,0.16058391,0.16058391
1030,1820,0.13043478,0.13043478,-0.026785757,-0.026785757,0.16058391,0.16058391
1030,1821,0.2173913,0.2173913,0.03496504,0.03496504,0.18823533,0.18823533
1030,1822,0.25,0.25,0.05054948,0.05054948,0.19402987,0.19402987
1030,1823,0.41666666,0.41666666,0.17444721,0.17444721,0.2631579,0.2631579
1030,1824,0.41666666,0.41666666,0.17444721,0.17444721,0.2631579,0.2631579
1030,1825,0.44,0.44,0.18414918,0.18414918,0.26778245,0.26778245
1030,1826,0.44,0.44,0.18414918,0.18414918,0.26778245,0.26778245
1030,1827,0.44,0.44,0.18414918,0.18414918,0.26778245,0.26778245
1030,1828,0.46153846,0.46153846,0.19290464,0.19290464,0.27200004,0.27200004
1030,1829,0.46153846,0.46153846,0.19290464,0.19290464,0.27200004,0.27200004
1030,1830,0.4814815,0.4814815,0.20084566,0.20084566,0.2758621,0.2758621
1030,1831,0.44827586,0.44827586,0.1594203,0.1594203,0.24675323,0.24675323
1030,1832,0.44827586,0.44827586,0.1594203,0.1594203,0.24675323,0.24675323
1030,1833,0.37931034,0.37931034,0.107692264,0.107692264,0.2162162,0.2162162
1030,1834,0.37931034,0.37931034,0.107692264,0.107692264,0.2162162,0.2162162
1030,1835,0.37931034,0.37931034,0.107692264,0.107692264,0.2162162,0.2162162
1030,1836,0.37931034,0.37931034,0.107692264,0.107692264,0.2162162,0.2162162
1030,1837,0.4,0.4,0.11620295,0.11620295,0.2196532,0.2196532
1030,1838,0.33333334,0.33333334,0.068323,0.068323,0.19354837,0.19354837
1030,1839,0.375,0.375,0.08571429,0.08571429,0.2,0.2
1030,1840,0.25,0.25,0,0,0.15789473,0.15789473
1030,1841,0.4117647,0.4117647,0.10052911,0.10052911,0.20560746,0.20560746
1030,1842,0.42857143,0.42857143,0.10714284,0.10714284,0.2081448,0.2081448
1030,1843,0.3888889,0.3888889,0.07368421,0.07368421,0.18852457,0.18852457
1030,1844,0.3888889,0.3888889,0.07368421,0.07368421,0.18852457,0.18852457
1030,1845,0.3888889,0.3888889,0.07368421,0.07368421,0.18852457,0.18852457
1030,1846,0.4054054,0.4054054,0.080225974,0.080225974,0.19085489,0.19085489
1030,1847,0.36842105,0.36842105,0.050000034,0.050000034,0.17391303,0.17391303
1030,1848,0.3846154,0.3846154,0.056451626,0.056451626,0.17605631,0.17605631
1035,1815,NA,NA,NA,NA,NA,NA
1035,1816,0.478260855,0.13043478,0.418016475666667,0.087301604,0.455635765,0.14814812
1035,1817,0.478260855,0.13043478,0.418016475666667,0.087301604,0.455635765,0.14814812
1035,1818,0.478260855,0.13043478,0.418016475666667,0.087301604,0.455635765,0.14814812
1035,1819,0.478260855,0.13043478,0.418016475666667,0.087301604,0.455635765,0.14814812
1035,1820,0.478260855,0.13043478,0.418016475666667,0.087301604,0.455635765,0.14814812
1035,1821,0.521739125,0.2173913,0.456976261666667,0.16024339,0.486988321666667,0.20077223
1035,1822,0.541666666666667,0.25,0.468191358333333,0.18026568,0.495910746666667,0.2173913
1040,1816,1,1,1,1,1,1
1040,1817,1,1,1,1,1,1
1040,1818,1,1,1,1,1,1
1040,1819,1,1,1,1,1,1
1040,1820,1,1,1,1,1,1
1045,1827,0.893333333333333,0.84,0.801587306666667,0.70238096,0.8039216,0.7058824
1045,1828,0.897435906666667,0.84615386,0.803030293333333,0.70454544,0.805243466666667,0.7078652
1045,1829,0.897435906666667,0.84615386,0.803030293333333,0.70454544,0.805243466666667,0.7078652
1050,1831,0.44827586,0.44827586,0.1594203,0.1594203,0.24675323,0.24675323
1050,1832,0.44827586,0.44827586,0.1594203,0.1594203,0.24675323,0.24675323
1050,1833,0.31034482,0.31034482,0.058441535,0.058441535,0.14705884,0.14705884
1050,1834,0.31034482,0.31034482,0.058441535,0.058441535,0.14705884,0.14705884
1050,1835,0.31034482,0.31034482,0.058441535,0.058441535,0.14705884,0.14705884
1050,1836,0.31034482,0.31034482,0.058441535,0.058441535,0.14705884,0.14705884
1050,1837,0.33333334,0.33333334,0.068323,0.068323,0.15254238,0.15254238
1050,1838,0.26666668,0.26666668,0.022222223,0.022222223,0.12698415,0.12698415
1050,1839,0.3125,0.3125,0.042176872,0.042176872,0.13725491,0.13725491
1050,1840,0.1875,0.1875,-0.041301627,-0.041301627,0.09565217,0.09565217
1050,1841,0.3529412,0.3529412,0.059119493,0.059119493,0.14611872,0.14611872
1050,1842,0.37142858,0.37142858,0.066666655,0.066666655,0.15011035,0.15011035
1050,1843,0.33333334,0.33333334,0.035714302,0.035714302,0.1325301,0.1325301
1050,1844,0.33333334,0.33333334,0.035714302,0.035714302,0.1325301,0.1325301
1050,1845,0.33333334,0.33333334,0.035714302,0.035714302,0.1325301,0.1325301
1050,1846,0.35135135,0.35135135,0.04310346,0.04310346,0.13618675,0.13618675
1050,1847,0.31578946,0.31578946,0.01495515,0.01495515,0.12099643,0.12099643
1050,1848,0.33333334,0.33333334,0.02217933,0.02217933,0.12435235,0.12435235
1053,1832,NA,NA,NA,NA,NA,NA
1053,1833,NA,NA,NA,NA,NA,NA
1053,1834,NA,NA,NA,NA,NA,NA
1053,1835,NA,NA,NA,NA,NA,NA
1053,1836,NA,NA,NA,NA,NA,NA
1053,1837,NA,NA,NA,NA,NA,NA
1053,1838,NA,NA,NA,NA,NA,NA
1053,1839,NA,NA,NA,NA,NA,NA
1053,1840,NA,NA,NA,NA,NA,NA
1053,1841,NA,NA,NA,NA,NA,NA
1053,1842,NA,NA,NA,NA,NA,NA
1053,1843,NA,NA,NA,NA,NA,NA
1053,1844,NA,NA,NA,NA,NA,NA
1053,1845,NA,NA,NA,NA,NA,NA
1053,1846,NA,NA,NA,NA,NA,NA
1055,1832,0.79310346,0.79310346,0.512605,0.512605,0.5139665,0.5139665
1055,1833,0.79310346,0.79310346,0.512605,0.512605,0.5139665,0.5139665
1060,1832,0.9310345,0.9310345,0.78113204,0.78113204,0.7819549,0.7819549
1060,1833,0.9310345,0.9310345,0.78113204,0.78113204,0.7819549,0.7819549
1065,1833,0.586206883333333,0.37931034,0.44801632,0.19069766,0.476810786666667,0.2478386
1065,1834,0.586206883333333,0.37931034,0.44801632,0.19069766,0.476810786666667,0.2478386
1065,1835,0.586206883333333,0.37931034,0.44801632,0.19069766,0.476810786666667,0.2478386
1065,1836,0.586206883333333,0.37931034,0.44801632,0.19069766,0.476810786666667,0.2478386
1065,1837,0.60000002,0.4,0.45420076,0.2,0.481504213333333,0.25414366
1065,1838,0.55555557,0.33333334,0.419615,0.1477273,0.45667017,0.21875001
1065,1839,0.583333333333333,0.375,0.432236646666667,0.16666667,0.46572866,0.23076923
1070,1833,0.9310345,0.9310345,0.78113204,0.78113204,0.7819549,0.7819549
1070,1834,0.9310345,0.9310345,0.78113204,0.78113204,0.7819549,0.7819549
1070,1835,0.9310345,0.9310345,0.78113204,0.78113204,0.7819549,0.7819549
1070,1836,0.9310345,0.9310345,0.78113204,0.78113204,0.7819549,0.7819549
1070,1837,0.93333334,0.93333334,0.7818182,0.7818182,0.7826087,0.7826087
1070,1838,0.93333334,0.93333334,0.7818182,0.7818182,0.7826087,0.7826087
1070,1839,0.9375,0.9375,0.78305084,0.78305084,0.7837838,0.7837838
1070,1840,0.9375,0.9375,0.78305084,0.78305084,0.7837838,0.7837838
1070,1841,0.9411765,0.9411765,0.784127,0.784127,0.7848101,0.7848101
1070,1842,0.94285715,0.94285715,0.7846154,0.7846154,0.78527606,0.78527606
1070,1843,0.9444444,0.9444444,0.78507465,0.78507465,0.78571427,0.78571427
1070,1844,0.9444444,0.9444444,0.78507465,0.78507465,0.78571427,0.78571427
1070,1845,0.9444444,0.9444444,0.78507465,0.78507465,0.78571427,0.78571427
1070,1846,0.9459459,0.9459459,0.78550726,0.78550726,0.78612715,0.78612715
1070,1847,0.94736844,0.94736844,0.7859155,0.7859155,0.78651685,0.78651685
1070,1848,0.94871795,0.94871795,0.7863014,0.7863014,0.78688526,0.78688526
1075,1833,0.86206895,0.86206895,0.6282051,0.6282051,0.6329114,0.6329114
1075,1834,0.86206895,0.86206895,0.6282051,0.6282051,0.6329114,0.6329114
1075,1835,0.86206895,0.86206895,0.6282051,0.6282051,0.6329114,0.6329114
1075,1836,0.86206895,0.86206895,0.6282051,0.6282051,0.6329114,0.6329114
1075,1837,0.8666667,0.8666667,0.6296296,0.6296296,0.63414633,0.63414633
1075,1838,0.8666667,0.8666667,0.6296296,0.6296296,0.63414633,0.63414633
1075,1839,0.875,0.875,0.6321839,0.6321839,0.6363636,0.6363636
1075,1840,1,1,1,1,1,1
1075,1841,0.88235295,0.88235295,0.6344086,0.6344086,0.63829786,0.63829786
1080,1833,0.37931034,0.37931034,0.19069766,0.19069766,0.2478386,0.2478386
1080,1834,0.37931034,0.37931034,0.19069766,0.19069766,0.2478386,0.2478386
1080,1835,0.37931034,0.37931034,0.19069766,0.19069766,0.2478386,0.2478386
1080,1836,0.37931034,0.37931034,0.19069766,0.19069766,0.2478386,0.2478386
1080,1837,0.4,0.4,0.2,0.2,0.25414366,0.25414366
1080,1838,0.33333334,0.33333334,0.1477273,0.1477273,0.21875001,0.21875001
1080,1839,0.375,0.375,0.16666667,0.16666667,0.23076923,0.23076923
1080,1840,0.4375,0.4375,0.3263158,0.3263158,0.3846154,0.3846154
1080,1841,0.4117647,0.4117647,0.18269232,0.18269232,0.24107143,0.24107143
1080,1842,0.4857143,0.4857143,0.23636363,0.23636363,0.30463573,0.30463573
1080,1843,0.44444445,0.44444445,0.19642858,0.19642858,0.27710843,0.27710843
1080,1844,0.3888889,0.3888889,0.15294115,0.15294115,0.22047241,0.22047241
1080,1845,0.3888889,0.3888889,0.15294115,0.15294115,0.22047241,0.22047241
1080,1846,0.4054054,0.4054054,0.15995875,0.15995875,0.22476189,0.22476189
1080,1847,0.42105263,0.42105263,0.16650051,0.16650051,0.25622776,0.25622776
1080,1848,0.43589744,0.43589744,0.17261328,0.17261328,0.2590674,0.2590674
1080,1849,0.53846157,0.53846157,0.25714287,0.25714287,0.31578946,0.31578946
1080,1850,0.53846157,0.53846157,0.25714287,0.25714287,0.31578946,0.31578946
1080,1851,0.5,0.5,0.21875001,0.21875001,0.28825623,0.28825623
1080,1852,0.5,0.5,0.21875001,0.21875001,0.28825623,0.28825623
1080,1853,0.5,0.5,0.21875001,0.21875001,0.28825623,0.28825623
1085,1833,0.37931034,0.37931034,0.19069766,0.19069766,0.2478386,0.2478386
1085,1834,0.37931034,0.37931034,0.19069766,0.19069766,0.2478386,0.2478386
1085,1835,0.37931034,0.37931034,0.19069766,0.19069766,0.2478386,0.2478386
1085,1836,0.37931034,0.37931034,0.19069766,0.19069766,0.2478386,0.2478386
1085,1837,0.4,0.4,0.2,0.2,0.25414366,0.25414366
1085,1838,0.33333334,0.33333334,0.1477273,0.1477273,0.21875001,0.21875001
1085,1839,0.375,0.375,0.16666667,0.16666667,0.23076923,0.23076923
1085,1840,0.4375,0.4375,0.3263158,0.3263158,0.3846154,0.3846154
1085,1841,0.4117647,0.4117647,0.18269232,0.18269232,0.24107143,0.24107143
1085,1842,0.4857143,0.4857143,0.23636363,0.23636363,0.30463573,0.30463573
1085,1843,0.44444445,0.44444445,0.19642858,0.19642858,0.27710843,0.27710843
